id;keyword
259;empirical analysis
260;end of life
261;end-of-life vehicles
262;enterprise
263;environmental economics
264;environmental performance
265;epr
266;evaluation system
267;exergy
268;factor analysis
269;genetic algorithm
270;green logistics
271;green manufacturing
272;green supply chain management
273;industrial policy
274;industry
275;input-output analysis
276;lignocellulose
277;linear economy
278;low-carbon
279;manufacturing industry
280;material flow accounting
281;methodology
282;mfa
283;mineral resources
284;mobile phones
285;nutrient recycling
286;performance evaluation
287;practices
288;rebound effect
289;regeneration
290;regulation
291;resilience
292;resource utilization
293;responsibility
294;rural development
295;scenarios
296;sintering
297;solid waste management
298;solvent extraction
299;sustainable agriculture
300;sustainable business model
301;sustainable design
302;sustainable operations
303;the circular economy
304;topsis
305;value
306;venous industry
307;waste biorefinery
308;disposal
309;3d printing
310;ahp
311;australia
312;automotive
313;behaviour change
314;beijing
315;biodiesel
316;biotechnology
317;bottom ash
318;building information modelling (bim)
319;building materials
320;business ethics and sustainability
321;by-product
322;c&amp
323;cascading
324;catalysis
325;cellulose
326;ceramics
327;challenges
328;circular economy efficiency
329;cities
330;closed loop supply chain
331;closed-loop economy
332;collaboration
333;composting
334;comprehensive evaluation
335;consumers
336;consumption
337;contamination
338;countermeasure
339;decision support
340;design for recycling
341;design for x (dfx)
342;development mode
343;development strategy
344;eco-industrial development
345;ecological footprint
346;ecological industry
347;ecological modernization
348;ecology
349;economic benefits
350;ecosystems
351;emission reduction
352;empirical study
353;end-of-waste
354;energy conservation
355;energy conversion
356;energy saving and emission reduction
357;environmental education
358;environmental management systems
359;experimentation
360;extended producer responsibility (epr)
361;fashion
362;food
363;food loss
364;food security
365;framework
366;fuzzy comprehensive evaluation
367;gasification
368;geopolymer
369;gis
370;green design
371;green marketing
372;gypsum waste
373;harmonious society
374;higher education
375;implementation
376;incineration
377;india
378;indium
379;information technology
380;infrastructure
381;integration
382;iron and steel industry
383;italy
384;lead
385;life cycle costing
386;lignin
387;lithium
388;material recovery
389;materials
390;metal recovery
391;metallurgy
392;metrics
393;mineralogy
394;modelling
395;monitoring
396;multi-criteria analysis
397;ofmsw
398;organic waste
399;paper industry
400;photovoltaics
401;planned obsolescence
402;planning
403;plasterboard
404;pollution
405;process design
406;product longevity
407;product service systems
408;pulp and paper industry
409;quality
410;review
411;scenario analysis
412;servitization
413;shandong province
414;slovenia
415;sorting
416;spain
417;stakeholder engagement
418;stakeholders
419;standardization
420;steel
421;strategic planning
422;supplementary cementitious materials
423;sustainability transitions
424;sustainable economy
425;sustainable fashion
426;sustainable supply chain
427;sustainable waste management
428;swot analysis
429;systematic literature review
430;systematic review
431;thermodynamics
432;tourism circular economy
433;transitions
434;uncertainty
435;urbanization
436;valorization
437;value network
438;value proposition
439;waste electrical and electronic equipment (weee)
440;waste generation
441;waste policy
442;waste reduction
443;waste treatment
444;waste water
445;wastewater reuse
446;zinc
447;3-d printing
448;activated carbon
449;agricultural waste
450;algae
451;analysis
452;application
453;aquaculture
454;best practices
455;beverage
456;bibliometric analysis
457;bio-based
458;bio-based economy
459;bio-based plastics
460;bio-based products
461;bio-economy
462;bio-refinery
463;bio-waste
464;bioethanol
465;biogas production
466;biohydrogen
467;biomass fly ash
468;bioproducts
469;biosorption
470;built environment
471;business
472;carbon dioxide
473;carbon sequestration
474;case studies
475;cellulose nanofibers
476;chitosan
477;circle economy
478;circular bioeconomy
479;circular economy package
480;circular economy park
481;circular economy system
482;circularity indicators
483;circulation economy
484;closed loop economy
485;closed-loop supply chains
486;co-creation
487;co-evolution
488;co-innovation
489;coal enterprises
490;coal mining area
491;coffee
492;coke oven gas
493;coking coal
494;collection
495;combined heat and power generation (chp)
496;combustion
497;comparative analysis
498;comprehensive utilization
499;compressive strength
500;construction industry
501;construction waste
502;content analysis
503;cost-benefit analysis
504;creep
505;critical raw materials
506;data envelopment analysis
507;decision support tool
508;digitalization
509;disassembly
510;displacement
511;drivers
512;eco-city
513;eco-costs
514;eco-industrial park (eip)
515;ecodesign directive
516;ecological economics
517;economic analysis
518;economic evaluation
519;economy-wide material flow analysis (ew-mfa)
520;electric vehicle
521;electronics
522;emergy
523;emission
524;end-of-life management
525;energy balance
526;energy transition
527;energy-intensive industry
528;energy-saving
529;engineering
530;environment protection
531;environmental benefits
532;environmental impact assessment
533;evaluation model
534;extraction
535;fermentation
536;fertilizer
537;finland
538;food system
539;forecast
540;gallium
541;germany
542;ghg emissions
543;global warming potential
544;government
545;green growth
546;green innovation
547;green jobs
548;green management
549;growth
550;household waste
551;human health
552;hydrocarbons
553;ict
554;impact assessment
555;incentives
556;industrial development
557;industrial metabolism
558;industrial sustainability
559;industrial symbiosis network
560;industrial system
561;informal sector
562;information systems
563;institutional theory
564;institutions
565;integrated waste management
566;iot
567;irrigation
568;knowledge
569;knowledge base
570;lcc
571;leather industry
572;life cycle management
573;life-cycle analysis
574;life-cycle assessment
575;lifecycle management
576;linear programming
577;lipase
578;livestock
579;livestock feed
580;low-carbon development
581;material metabolism
582;material productivity
583;medical waste
584;microstructure
585;mining cities
586;msw
587;multi-dimensional value
588;multi-objective programming
589;municipal solid waste management
590;municipal waste
591;natural capital
592;nature-based solutions
593;nutrients
594;nutrients recovery
595;obsolescence
596;optimisation
597;paper
598;peak oil
599;permeability
600;photocatalysis
601;physical properties
602;plastic packaging
603;plastic recycling
604;plastic waste
605;policy mixes
606;poly(ethylene terephthalate)
607;post-consumer waste
608;pretreatment
609;prevention
610;pro-circular behaviour
611;product life extension
612;product lifetime extension
613;product recovery
614;product-service systems (pss)
615;product/service-systems
616;production process
617;productivity
618;profitability
619;public awareness
620;public policy
621;public-private partnership
622;purification
623;questionnaire
624;reach
625;rebound effects
626;recycled aggregate
627;reduce
628;regional development
629;research
630;resource circulation
631;resource conservation
632;resource consumption
633;resource use
634;resource-based cities
635;resource-based view
636;resources recovery
637;reverse osmosis
638;sankey diagram
639;seawater desalination
640;secondary material
641;sensitivity analysis
642;separate waste collection
643;separation
644;services
645;sewage sludge ash
646;silver recovery
647;slag
648;smart cities
649;smart city
650;smart manufacturing
651;social networks
652;social responsibility
653;social sustainability
654;socio-economic metabolism
655;soil amendment
656;solid-state fermentation
657;solidarity economy
658;source separation
659;stability
660;statistics
661;steel slag
662;stocks and flows
663;struvite
664;sustainability indicators
665;sustainable energy
666;sustainable futures
667;sustainable production and consumption
668;symbiosis
669;system
670;system innovation
671;system integration
672;technological nutrient
673;technology
674;textiles
675;theory of planned behaviour
676;toxicity
677;transdisciplinary
678;transport
679;upcycling
680;upgradability
681;urban
682;urban planning
683;urban sustainability
684;utilization
685;valorisation
686;waste collection
687;waste composition
688;waste hierarchy
689;waste management &amp
690;waste printed circuit boards
691;waste reuse
692;wastes
693;water footprint
694;water reuse
695;willingness to pay
696;/inf&gt
697;2&lt
698;3r
699;3r principle
700;6r
701;acid-base production
702;adaptive reuse
703;agent-based modeling
704;agro-energy districts
705;air age
706;alchemy
707;alternative ownership models
708;anaerobic co-digestion
709;animal by-products
710;application research
711;arc
712;artificial intelligence
713;ash treatment
714;assessment
715;assessment model
716;asset management
717;automotive industry
718;automotive products
719;automotive shredder residue
720;awareness
721;battery directive
722;beilangzhong
723;belgium
724;bibliometric
725;bibliometrics
726;bio-based materials
727;bio-participation
728;bio-plastic
729;biobased economy
730;biodiversity
731;bioenergy villages
732;biofertilisers
733;biogas plant
734;bioleaching
735;biological processes
736;biomass valorization
737;biomass waste
738;biomining
739;bioplastics
740;biopolymers
741;bioresources
742;blast furnace slag
743;blockchain
744;blue growth
745;bottom-up
746;bottom-up optimization
747;brazil
748;building design
749;building stock
750;business model design
751;business opportunities
752;business strategy
753;canning industry
754;capacity building
755;carbon
756;carbon emissions
757;carbon fibre
758;carrier
759;cascade use
760;cellulases
761;ceramic waste
762;cfd simulation
763;cheese whey
764;chemical industrial park
765;chemical risk
766;chemicals
767;chemometrics
768;chitin nanofibrils
769;chlor-alkali industry
770;chromium
771;circular
772;circular economies
773;circular economy capability
774;circular economy competitiveness
775;circular economy development
776;circular economy implementation
777;circular economy index system
778;circular paradigm
779;circular production
780;circular supply chains
781;circular tourism
782;circular-economy
783;circularity indicator
784;circularity measurement
785;circularity metric
786;circulation
787;city circular economy
788;clean production
789;clinoptilolite
790;closed-loop recycling
791;closing the loop
792;co emission 2
793;co&lt
794;coal solid wastes
795;cogeneration
796;collapse
797;combined heat and power (chp)
798;communication
799;comparative study
800;competitive strategy
801;competitiveness
802;complex network
803;complex system
804;component
805;composite
806;composite index
807;compound crumb rubber modified asphalt
808;compound crumb rubber modified asphalt mixture
809;comprehensive benefit evaluation
810;constructed wetlands
811;consumer decision making
812;consumer electronics
813;consumer goods
814;consumerism
815;cooperation
816;cooperative game
817;coordination degree
818;corporate governance
819;corporate sustainability
820;correlation analysis
821;cost analysis
822;costâ€“benefit analysis
823;cradle-to-cradle (c2c)
824;cradle-to-grave
825;criticality
826;crumb rubber
827;cumulative energy demand
828;current situation
829;cutinase
830;cycle economy
831;dairy farming
832;data mining
833;de-manufacturing
834;dea model
835;decarbonisation
836;decision-making
837;definition
838;degradation
839;demountable shear connectors
840;denmark
841;depletion
842;desalination
843;design for disassembly
844;design for end-of-life
845;design guidelines
846;digeponics
847;digital intelligence
848;direct material input
849;direct material input (dmi)
850;disassembly planning
851;disclosure
852;dismantling
853;disposal
854;disruptive technology
855;dissipation
856;distributed manufacturing
857;diversification
858;driving mechanism
859;drug procurement
860;durable goods
861;dynamic analysis
862;dynamic mfa
863;eaf dust
864;eco-agriculture
865;eco-economic system
866;eco-economy
867;eco-environment
868;eco-labels
869;eco-tourism
870;eco-village
871;ecological carrying capacity
872;ecological efficiency
873;ecological environment
874;ecological network analysis
875;ecology environment
876;economic assessment
877;economic feasibility
878;economic instruments
879;economic performance
880;economic sustainability
881;economic value
882;edible fungus
883;education for sustainability
884;education for sustainable development
885;education for sustainable development (esd)
886;efficiency evaluation
887;efficiency measurement
888;electric vehicles
889;electrical and electronic equipment
890;electronic products
891;end-of-life strategy
892;end-of-life vehicle
893;energy conservation and emission reduction
894;energy crisis
895;energy flow
896;energy intensity
897;energy production
898;energy storage
899;energy systems analysis
900;energy-related products
901;engineering design
902;engineering technology
903;engraulis encrasicolus
904;enhanced landfill mining
905;enterprises
906;entire life cycle
907;entrepreneurship
908;environment pollution
909;environmental accounting
910;environmental assessment
911;environmental design tool
912;environmental efficiency
913;environmental engineering
914;environmental kuznets curve
915;environmental pressure
916;environmental pressures
917;environmental strategy
918;environmental tax
919;erhai lake basin
920;eroi
921;european commission
922;european seabass
923;evaluation index
924;evaluation method
925;experiment
926;externalities
927;extractive waste
928;extruder
929;extrusion
930;feasibility evaluation
931;feed
932;filtration
933;financial analysis
934;financial crisis
935;firing
936;firm strategy
937;fish waste
938;flow
939;flue gas desulfurization
940;fluorescent lamps
941;food packaging
942;fuels
943;furfural
944;fuzzy comprehensive evaluation method
945;fuzzy multi-objective programming
946;game
947;game theory
948;gansu province
949;geography
950;glass recycling
951;global warming
952;global warming potential (gwp)
953;glycerol
954;glycolysis
955;graph theory
956;green barriers
957;green development
958;green gdp
959;green infrastructure
960;green technology
961;greenhouse gas emissions
962;gypsum
963;heat recovery
964;heavy metal
965;helianthus annuus l
966;heritage
967;household
968;human health risks
969;hydrometallurgy
970;hypercycle theory
971;iiot
972;index evaluation
973;indicator system
974;industrial chains
975;industrial clusters
976;industrial collaboration
977;industrial ecology (ie)
978;industrial waste management
979;industrial wastes
980;industry chain
981;industry cluster
982;inf&gt
983;influence factors
984;information management system
985;input-output
986;input-output analysis (ioa)
987;input-output model
988;insects as feed
989;institutional capacity
990;institutional economics
991;institutional pressure
992;international comparison
993;ion exchange
994;iso 14001
995;iso 14001:2015
996;jiangsu province
997;jiangxi province
998;jilin province
999;kluyveromyces lactis
1000;knowledge management
1001;lactic acid
1002;landscape
1003;lean startup
1004;led
1005;levulinic acid
1006;lexicographic method
1007;life cycle cost
1008;life cycle engineering
1009;life cycle sustainability analysis
1010;life-cycle assessment (lca)
1011;lithium ion battery
1012;lithium-ion battery
1013;low carbon
1014;low carbon technology
1015;low temperature
1016;low-cost
1017;macroalgae
1018;maintenance services
1019;maker movement
1020;manufactured capital
1021;marine industry
1022;marine litter
1023;marketing
1024;markets
1025;mass balance
1026;material
1027;material circularity indicator
1028;material flow analysis(mfa)
1029;material flows
1030;material intensity
1031;material recycling
1032;materialities
1033;materiality
1034;mathematical modelling
1035;meat
1036;mechatronics
1037;mediterranean
1038;megatrends
1039;membrane processes
1040;metabolic engineering
1041;metal flows
1042;metal recycling
1043;metropolitan area
1044;metropolitan region
1045;mexico
1046;microplastic
1047;microwave
1048;milk production
1049;mining area
1050;mining waste
1051;mixed culture
1052;mobility
1053;mode
1054;modularity
1055;multi-agent system
1056;multi-level perspective
1057;multidimensional value
1058;municipal sewage sludge
1059;narratives
1060;natural ventilation
1061;negative externality
1062;neoliberalism
1063;net environmental impacts
1064;network analysis
1065;network design
1066;network flow analysis
1067;network management
1068;networks
1069;new product development
1070;nexus
1071;nickel
1072;ningbo city
1073;nitrogen
1074;non-ferrous metals
1075;nonprofit sector
1076;nutrient cycling
1077;oil and gas exploitation
1078;olive mill waste
1079;olive oil by-products
1080;olive tree
1081;ontology
1082;open building
1083;open-loop
1084;opening configurations
1085;optimal control model
1086;outreach
1087;ownership
1088;packaging design
1089;paddy planting pattern
1090;palm oil
1091;paper recycling
1092;paradigm shift
1093;participatory action research
1094;pedagogy
1095;pellet
1096;performance economy
1097;pervious concrete
1098;pesticides
1099;pet recycling
1100;petrochemical industry
1101;phosphate fertilizer
1102;phosphate recovery
1103;photobioreactor
1104;photocatalyst
1105;phthalates
1106;phytotoxicity
1107;planetary boundaries
1108;plastic pollution
1109;platform
1110;poland
1111;policies
1112;policy durability
1113;policy facilitation
1114;policy instruments
1115;policy making
1116;policy translation
1117;pollutants
1118;pollution control
1119;polyesters
1120;polymers
1121;polypropylene
1122;porous materials
1123;pozzolan
1124;pozzolanic activity
1125;pre-treatment
1126;precautionary principle
1127;precious metals
1128;primary energy
1129;process analysis
1130;process and system simulation
1131;process engineering
1132;process integration
1133;process modelling
1134;process optimization
1135;processing
1136;product lifecycle
1137;product lifecycle management (plm)
1138;product lifetime
1139;product lifetimes
1140;product loss
1141;product policy
1142;product reuse
1143;product service system
1144;product stewardship
1145;product-service system (pss)
1146;production
1147;properties
1148;proximity
1149;public acceptance
1150;public participation
1151;pyrometallurgy
1152;qinghai province
1153;qualitative analysis
1154;qualitative interviews
1155;quantitative analysis
1156;quinoline adsorption
1157;rainwater harvesting
1158;rare earth
1159;rare earths
1160;re-manufacturing
1161;real estate
1162;recovered wood
1163;recyclables
1164;recycled fibers
1165;recycling economics
1166;recycling system
1167;redistributed manufacturing
1168;reductive leaching
1169;refrigerated display cabinets
1170;regeneration paradigm
1171;region
1172;regional circular economy
1173;regional differences
1174;regional policy
1175;remanufacturing industry
1176;renewable fuel
1177;reprocessing
1178;repurposing
1179;residue
1180;residues
1181;resolve framework
1182;resource dependence theory (rdt)
1183;resource policy
1184;resource potential
1185;resource recovery from waste
1186;resource recycling
1187;resource saving
1188;resource security
1189;resource-exhausted city
1190;resources efficiency
1191;resources shortage
1192;rheology
1193;risk assessment
1194;scarce materials
1195;scarcity
1196;scenic spot
1197;scientific concept of development
1198;scientific research
1199;scrap
1200;secondary materials
1201;secondary source
1202;security system
1203;self-compacting concrete
1204;sensors
1205;sewage
1206;sewage sludge ash (ssa)
1207;sewage treatment
1208;shaanxi province
1209;shared economy
1210;shower gel
1211;smartphones
1212;sme
1213;social behaviour
1214;social enterprises
1215;social innovation
1216;social justice
1217;social lca
1218;social metabolism
1219;societal challenges
1220;socio-technical transition
1221;socioeconomic metabolism
1222;soil
1223;soup
1224;south africa
1225;south korea
1226;spaceship earth
1227;special waste
1228;spent coffee grounds
1229;stabilization
1230;standard
1231;steady-state economy
1232;stewardship
1233;stochastic programming
1234;straw
1235;strength
1236;strong sustainability
1237;structure
1238;substitution
1239;supply chain collaboration
1240;supply chains
1241;sustainability management
1242;sustainability transition
1243;sustainable
1244;sustainable aquaculture
1245;sustainable buildings
1246;sustainable cities
1247;sustainable construction
1248;sustainable consumption and production
1249;sustainable economics
1250;sustainable engineering
1251;sustainable logistics
1252;sustainable materials
1253;sustainable mining
1254;sustainable mobility
1255;sustainable performance
1256;sustainable process
1257;sustainable product design
1258;sustainable product service systems
1259;sustainable resource use
1260;sustainable solutions
1261;sustainable strategy
1262;sustainable supply chain management
1263;sustainable tourism
1264;sustainable transition
1265;sustainable use
1266;sweden
1267;switzerland
1268;syngas
1269;synthesis
1270;synthetic evaluation
1271;system design
1272;system theory
1273;systemic approach
1274;systemic design
1275;systems
1276;target disassembly
1277;techno-economic assessment
1278;technological development
1279;technology transfer
1280;teda
1281;terbium
1282;textile
1283;textile waste
1284;the netherlands
1285;theoretical framework
1286;thermal power plant
1287;thermal processing
1288;tianjin binhai new area
1289;titanium
1290;total cost of ownership
1291;toxic metals
1292;traceability
1293;trade-off
1294;transdisciplinary research
1295;transition management
1296;transition mode
1297;treatment
1298;treatment technologies
1299;treatment wetlands
1300;triple helix
1301;tropical cities
1302;ultrasound
1303;unintended consequences
1304;upcycle
1305;uranium mining industry
1306;urban agglomeration
1307;urban agriculture
1308;urban biorefinery
1309;urban circular economy
1310;urban development
1311;urban industrial symbiosis
1312;urban landscape design
1313;urban symbiosis
1314;urban waste management
1315;urea
1316;used tires
1317;user centred design
1318;user experience
1319;value capture
1320;value chains
1321;value recovery
1322;vermicompost
1323;vermicomposting
1324;waste classification
1325;waste flow analysis
1326;waste footprint
1327;waste framework directive
1328;waste gasification
1329;waste glass
1330;waste incineration
1331;waste input-output
1332;waste li foils
1333;waste lubricant oil
1334;waste plastic
1335;waste recycling
1336;waste regulatory framework
1337;waste separation
1338;waste trade
1339;waste-to-materials
1340;waste-to-resource
1341;water governance
1342;water management
1343;water sustainability
1344;water treatment
1345;weee directive
1346;weight
1347;welfare paradox
1348;wind power
1349;wood biomass
1350;wood-plastic composites
1351;xinjiang
1352;zeolite
1353;zero emissions
